ID (DC:identifier)	ASSESSORATO DIPARTIMENTO/UFFICIO SPECIALE TITOLARE (DC:creator)	TEMA DATI.GOV.IT (DCAT:theme)	TEMA EUROVOC (DCAT:theme)	SOTTOTEMA EUROVOC (DCAT:theme)	NOME DEL/DEI DATASET (DC:title)	DESCRIZIONE (DC:description)	PAROLE CHIAVE (DCAT:keyword)	PAGINA WEB (DCAT:landingPage)	URL DI PUBBLICAZIONE (DCAT:downloadURL)	FORMATO (DC:format)	LICENZA X RIUTILIZZO (DC:license)	LOCALIZZAZIONE (0 - Nessuna 1 - CAP/Comune 2 - Indirizzo 3 - coordinate geospaziali-Latitudine/Long o poligoni.)	DATA ULTIMO AGGIORNAMENTO (DC:modified)	FREQUENZA DI AGGIORNAMENTO	OBBLIGO DI PUBBLICAZIONE	ALTRO
25	Presidenza della Regione Dipartimento della Protezione Civile	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Archivio Avvisi attività sismico-vulcanico e vulcanica			http://www.regione.sicilia.it/presidenza/protezionecivile/pp/archivio_sima_id=0.asp		pdf	NO		2015			
26	Presidenza della Regione Dipartimento della Protezione Civile	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Strutture di interesse regionale a destinazione strategica o rilevante ai fini di eventuale collasso a seguito di evento sismico	- Edifici municipali - Edifici a destinazione sanitaria - Edifici scolastici o strategici con altre destinazioni d'uso - Infrastrutture - Ponti - Autostrade - ....		http://www.regione.sicilia.it/presidenza/protezionecivile/documenti/rischi/sismico/strutture/index.asp		Proprietario (pdf)	NO		SI			
27	Presidenza della Regione Dipartimento della Protezione Civile	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Geoportale Sistema Informativo Territoriale della Protezione Civile	Confini Amministrativi Centri Operativi Misti - COM Cartografia di Inquadramento Istat 2001 CTR - Regione Sicilia Pianificazione Prot. Civile Microzonazione sismica Cartografia tematica		http://www.sitr.regione.sicilia.it/geoportale		vari	NO		SI			
28	Assessorato delle Attività Produttive Istituto Regionale per il Credito alla Cooperazione (IRCAC)	Attività produttive	24 FINANZE	2416 ISTITUTI FINANZIARI E DI CREDITO	Tasso per le operazioni dell'Istituto Regionale per il Credito alla Cooperazione			http://www.ircac.it/root/tassi_1005.asp		HTML	NO		Agosto 2015			
29	Assessorato delle Attività Produttive	Attività produttive	40 IMPRESA E CONCORRENZA	4011 TIPO D'IMPRESA	Elenco aziende bio	elenco aziende con scheda descrittiva		http://www.sicilybioproject.com/aziende.asp		HTML	NO					
30	Assessorato delle Attività Produttive	Attività produttive	40 IMPRESA E CONCORRENZA	4011 TIPO D'IMPRESA	Elenco aziende food	elenco aziende con scheda descrittiva		http://www.sicilyfoodproject.com/aziende.asp		HTML	NO					
31	Assessorato delle Attività Produttive	Attività produttive	40 IMPRESA E CONCORRENZA	4011 TIPO D'IMPRESA	Elenco aziende craft	elenco aziende con scheda descrittiva		http://www.sicilycraftproject.com/aziende.asp		HTML	NO					
32	Assessorato delle Attività Produttive	Attività produttive	40 IMPRESA E CONCORRENZA	4011 TIPO D'IMPRESA	Elenco aziende design	elenco aziende con scheda descrittiva		http://www.sicilydesignproject.com/aziende.asp		HTML	NO					
33	Assessorato delle Attività Produttive	Attività produttive	40 IMPRESA E CONCORRENZA	4011 TIPO D'IMPRESA	Elenco aziende boating	elenco aziende con scheda descrittiva		http://www.sicilyboatingproject.com/aziende.asp		HTML	NO					
34	Assessorato delle Attività Produttive	Attività produttive	40 IMPRESA E CONCORRENZA	4011 TIPO D'IMPRESA	Elenco aziende fashion	elenco aziende con scheda descrittiva		http://www.sicilyfashionproject.com/aziende.asp		HTML	NO					
35	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Soprintendenze			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssBeniCulturali/PIR_BeniCulturaliAmbientali/PIR_969906.14641561		HTML	NO		SI			
36	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Schede informative parchi, musei, gallerie e aree archeologiche	Maschera di ricerca		http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=60		DB	NO		SI			
37	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Elenco dei musei, gallerie e siti archeologici	129 schede contenenti: - Categoria - Provincia - Comune - Località - Denominazione - Indirizzo - Telefono - Orari - Biglietto intero - Biglietto ridotto - Biglietto cumulativo - Note		http://www.regione.sicilia.it/beniculturali/dirbenicult/database/dipartimento_2/siti_list.asp		html	NO		SI			
