ID (DC:identifier)	ASSESSORATO DIPARTIMENTO/UFFICIO SPECIALE TITOLARE (DC:creator)	TEMA DATI.GOV.IT (DCAT:theme)	TEMA EUROVOC (DCAT:theme)	SOTTOTEMA EUROVOC (DCAT:theme)	NOME DEL/DEI DATASET (DC:title)	DESCRIZIONE (DC:description)	PAROLE CHIAVE (DCAT:keyword)	PAGINA WEB (DCAT:landingPage)	URL DI PUBBLICAZIONE (DCAT:downloadURL)	FORMATO (DC:format)	LICENZA X RIUTILIZZO (DC:license)	LOCALIZZAZIONE (0 - Nessuna 1 - CAP/Comune 2 - Indirizzo 3 - coordinate geospaziali-Latitudine/Long o poligoni.)	DATA ULTIMO AGGIORNAMENTO (DC:modified)	FREQUENZA DI AGGIORNAMENTO	OBBLIGO DI PUBBLICAZIONE	ALTRO
102	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	32 ISTRUZIONE E COMUNICAZIONE	3236 INFORMATICA E TRATTAMENTO DEI DATI	Dati delle stazioni di telemisura	Temperatura dell' aria a 2 metri Radiazione solare globale Pressione atmosferica ridotta Umidità relativa dell' aria Velocità del vento 2 m media Velocità del vento 2 m massima Direzione del vento 2 m prevalente Velocità del vento 10 m media Velocità del vento 10 m massima Direzione del vento 10 m prevalente Precipitazioni ....		http://www.sias.regione.sicilia.it/corpo_dati.htm		DB	NO		SI			
103	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	32 ISTRUZIONE E COMUNICAZIONE	3236 INFORMATICA E TRATTAMENTO DEI DATI	Mappe giornaliere	Temperatura Minima giornaliera                                       Temperatura Massima giornaliera Precipitazione Totale giornaliera Radiazione Solare Giornaliera Umidità Relativa Media Diurna Umidità Relativa Media Notturna		http://www.sias.regione.sicilia.it/NHEOWLA01.html		DB	NO		SI			
104	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	32 ISTRUZIONE E COMUNICAZIONE	3236 INFORMATICA E TRATTAMENTO DEI DATI	Analisi periodiche			http://www.sias.regione.sicilia.it/corpo_analisi_periodiche.htm		html	NO		?			
105	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	32 ISTRUZIONE E COMUNICAZIONE	3236 INFORMATICA E TRATTAMENTO DEI DATI	Bollettini riepilogativi			http://www.sias.regione.sicilia.it/corpo_bollettini.htm		pdf	NO		si (2015)			
106	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	32 ISTRUZIONE E COMUNICAZIONE	3236 INFORMATICA E TRATTAMENTO DEI DATI	Climatologia della Sicilia			http://www.sias.regione.sicilia.it/pdf/Climatologia_sicilia.pdf		pdf	NO		?			
107	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Carte tematiche di climatologia	Clima Suoli Uso del suolo Cartografia derivata		http://www.sias.regione.sicilia.it/SIT/		WebGIS	NO	3	?			
108	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5606 POLITICA AGRICOLA	Agroservizi			http://www.agroservizi.regione.sicilia.it/agroservizi/jsp/home.do?sportello=agroservizi		Proprietario (DB)	NO		SI			
109	Assessorato delle Risorse Agricole e Alimentari	Agricoltura, pesca, politiche forestali e alimentari	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5606 POLITICA AGRICOLA	Carta Regionale delle zone vulnerabili da nitrati di origine agricola e decreto regionale su reflui oleari e zootecnici			http://www.psrsicilia.it/Allegati/CartaNitrati/Carta_Zone_vulnerabili.pdf		Proprietario (pdf)	NO		SI			
110	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5606 POLITICA AGRICOLA	Zone agricole svantaggiate			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoregionaledelleRisorseAgricoleeAlimentari/PIR_DipPesca/PIR_CreditodImposta/D.D.G.%20%2024%20dic.2003_Zone%20Agricole%20Svantaggiate.pdf		Proprietario (pdf)	NO		NO (2003)			
111	Assessorato delle Risorse Agricole e Alimentari	Agricoltura, pesca, politiche forestali e alimentari	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5621 COLTIVAZIONE DI TERRENI AGRICOLI	Elenco operatori agricoltura biologica			http://www.regione.sicilia.it/Agricolturaeforeste/Assessorato/AgricolturaBiologica.htm		Proprietario (xls)	NO		NO (2011)			
112	Assessorato delle Risorse Agricole e Alimentari	Agricoltura, pesca, politiche forestali e alimentari	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5611 PRODUZIONE E STRUTTURE AGRICOLE	Elenco regionale degli operatori agrituristici autorizzati e delle aziende e fattorie didattiche accreditate			http://www.regione.sicilia.it/Agricolturaeforeste/Assessorato/Agriturismo.htm		Proprietario (xls)	NO		SI			
113	Assessorato delle Risorse Agricole e Alimentari	Agricoltura, pesca, politiche forestali e alimentari	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Piano faunistico venatorio - cartografia			http://www.regione.sicilia.it/Agricolturaeforeste/Assessorato/faunistico_ven_PFV_Cartografia.htm		Proprietario (pdf)	NO		?			
114	Assessorato delle Risorse Agricole e Alimentari	Agricoltura, pesca, politiche forestali e alimentari	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Elenco associazioni venatorie riconosciute			http://www.regione.sicilia.it/Agricolturaeforeste/Assessorato/allegati/faun_venatorio/AssociazioniVenatorieeccriconosciuteinambitoregionale2010.pdf		Proprietario (html)	NO		?			
115	Assessorato delle Risorse Agricole e Alimentari	Agricoltura, pesca, politiche forestali e alimentari	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Elenco associazioni ambientaliste riconosciute			http://www.regione.sicilia.it/Agricolturaeforeste/Assessorato/Faunistico_Ven_Ass_Ambientaliste.htm		Proprietario (html)	NO		?			
116	Assessorato delle Risorse Agricole e Alimentari Dipartimento degli Interventi per la Pesca	Agricoltura, pesca, politiche forestali e alimentari	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5641 PESCA	Rapporto Annuale sulla Pesca e sull'Acquacoltura in Sicilia			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoregionaledelleRisorseAgricoleeAlimentari/PIR_DipPesca/PIR_StudieRicerche/PIR_RapportoPescaeAcquacolturainSicilia		Proprietario (pdf)	NO		NO (2011)			Presenti anche i rapporti degli anni precedenti
117	Assessorato delle Risorse Agricole e Alimentari Dipartimento degli Interventi per la Pesca	Agricoltura, pesca, politiche forestali e alimentari	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5641 PESCA	Studio statistico e socio-economico della filiera ittica regionale	Studio descrittivo dell'acquacoltura in Sicilia. Studio descrittivo del sistema distributivo dei prodotti ittici in Sicilia. Studio descrittivo dell'industria di trasformazione dei prodotti ittici in Sicilia. Studio descrittivo dell'industria cantieristica in Sicilia. Rapporto annuale delle strutture produttive della pesca in Sicilia. Studio descrittivo dell'analisi della dipendenza della pesca in Sicilia		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoregionaledelleRisorseAgricoleeAlimentari/PIR_DipPesca/PIR_StudieRicerche/PIR_Studiostatisticofilieraittica		Proprietario (pdf)	NO		SI			Presenti anche i rapporti degli anni precedenti
118	Assessorato delle Risorse Agricole e Alimentari Dipartimento degli Interventi per la Pesca	Agricoltura, pesca, politiche forestali e alimentari	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5641 PESCA	Elenco imbarcazioni autorizzate al pescaturismo			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoregionaledelleRisorseAgricoleeAlimentari/PIR_DipPesca/PIR_Pescaturismo		Proprietario (pdf)	NO		?			
119	Assessorato della Salute Dipartimento Attività Sanitarie e Osservatorio Epidemiologico	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Dove fare una visita	ALTRO TIPO DI STRUTTURA TERRITORIALE AMBULATORIO E LABORATORIO ARNAS FARMACIE IRCCS OSPEDALI OSPEDALITA' PRIVATA POLICLINICI STRUTTURA RESIDENZIALE STRUTTURA RICOVERO E CURA STRUTTURA SEMIRESIDENZIALE STRUTTURE IN RETE STRUTTURE PER EMERGENZA-URGENZA		http://costruiresalute.it/dove-fare-una-visita-o-un-esame		Proprietario (DB)	NO	3	SI			 Risultati georeferenziati
120	Assessorato della Salute Dipartimento Attività Sanitarie e Osservatorio Epidemiologico	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Punti Unici di Accesso (PUA)	Sono sportelli informativi sul territorio dove è possibile rivolgersi per avere informazioni sui servizi come l'ADI - Assistenza Domiciliare Integrata - e su come accedervi, per scegliere il medico/pediadra, per ottenere esenzioni ticket e/o invalidità civile		http://costruiresalute.it/pua		Proprietario (DB)	NO	3	SI			 Risultati georeferenziati
121	Assessorato della Salute	Sanità	24 FINANZE	2426 INVESTIMENTI E FINANZIAMENTI	DUPISS - Documento Unitario di Programmazione degli Investimenti Sanitari in Sicilia	Elenco interventi - tutti i codici + fasi		costruiresalute.it/sites/default/files/DUPISS%20-%20elenco%20interventi%20TUTTI%20CODICI%20%2BFASI.xls		Proprietario (xls)	NO		SI			
122	Assessorato della Salute	Sanità	24 FINANZE	2426 INVESTIMENTI E FINANZIAMENTI	DUPISS - Documento Unitario di Programmazione degli Investimenti Sanitari in Sicilia	Indice interventi per categorie e tipo		costruiresalute.it/sites/default/files/DUPISS%20-%20indice%20interventi%20per%20categorie%20e%20tipo.xls		Proprietario (xls)	NO		SI			
123	Assessorato della Salute	Sanità	32 ISTRUZIONE E COMUNICAZIONE	3221 DOCUMENTAZIONE	Geotag dei progetti PO FESR 2007-2013 sulle alte tecnologie			http://62.77.59.134/geotag/sicilia-sanita/		Proprietario (DB)	NO	3	SI			
124	Assessorato della Salute	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Libro Bianco della Salute 2011			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_LibroBiancodellaSalute2011/libro%20bianco%20II%20ED..pdf		Proprietario (pdf)	NO		NO (2011)			
125	Assessorato della Salute	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Atlante Sanitario della Sicilia 2004-2011			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_AreeTematiche/PIR_Epidemiologia/PIR_IndaginiEpidemiologiche		Proprietario (pdf)	NO		NO (2011)			
126	Assessorato della Salute	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Ricoveri Ospedalieri 2003-2008			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_AreeTematiche/PIR_AtlanteSanitarioSiciliano/Atlante_ricoveri_ospedalieri_2003_2008.pdf		Proprietario (pdf)	NO		NO (2008)			
127	Assessorato della Salute Dipartimento Attività Sanitarie e Osservatorio Epidemiologico	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Analisi del contesto demografico e di salute della popolazione siciliana			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_AreeTematiche/PIR_Epidemiologia/Profilo_salute_Sicilia_2011.pdf		Proprietario (pdf)	NO		SI			
128	Assessorato della Salute Dipartimento Attività Sanitarie e Osservatorio Epidemiologico	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	VALUTAZIONE DEGLI INDICATORI DI SALUTE PERINATALE (ANNI 2009-2011) E ANDAMENTO DELLA MORTALITA’ INFANTILE IN SICILIA (ANNI 2004-2011)			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_AreeTematiche/PIR_Epidemiologia/PIR_Saluteriproduttiva/Valutazione_indicatori_salute_perinatale_Sicilia_2011.pdf		Proprietario (pdf)	NO		SI			
129	Assessorato della Salute	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Tariffari, DRG e Prestazioni specialistiche	- Tariffario dei DRG dei ricoveri ospedalieri  - Tariffario delle prestazioni di specialistica ambulatoriale  - Tariffario delle prestazioni di emodialisi  - Day Service  - Tariffa intervento cataratta		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_TariffariDRGPrestazioni		Proprietario (xls)	NO		SI			
130	Assessorato della Salute Dipartimento per la Pianificazione Strategica	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Anagrafe consultori pubblici			pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_DipPianificazioneStrategica/PIR_Consultorifamiliari/consult%20pubb.xls		Proprietario (xls)	NO					
131	Assessorato della Salute Dipartimento per la Pianificazione Strategica	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Anagrafe consultori privati			pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_DipPianificazioneStrategica/PIR_Consultorifamiliari/consult%20privati.xls								
132	Assessorato della Salute	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Elenco strutture di detenzione regionali autorizzate			https://anagrafecanina.izs.it/j6_canina/documentiHome/Mappa_Rifugi_Sicilia.pdf		Proprietario (pdf)	NO		NO (2011)			
133	Assessorato della Salute	Sanità	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Albo delle associazioni per la protezione degli animali			https://anagrafecanina.izs.it/j6_canina/documentiHome/Albo_delle_Associazioni_Sicilia.pdf		Proprietario (pdf)	NO		NO (2011)			
134	Assessorato della Salute Dipartimento Attività Sanitarie e Osservatorio Epidemiologico	Sanità	28 QUESTIONI SOCIALI	2841 SALUTE	Bollettino Epidemiologico Veterinaro della Sicilia			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoSalute/PIR_DipartimentoOsservatorioEpidemiologico/PIR_Organigramma/PIR_4081531.845984001/PIR_BollettinoEpidemiologico		Proprietario (pdf)	NO		SI			
135	Assessorato del Territorio e dell'Ambiente Dipartimento Urbanistica Area 2 Interdipartimentale - Sistemi Informativi Territoriali e Cartografia	Sistemi cartografici	28 QUESTIONI SOCIALI	2846 URBANISTICA E EDILIZIA	Geoportale della Regione Siciliana	Infrastruttura dati territoriali - S.I.T.R. contenente 353 risorse suddivise in: - 163 dataset; - 8 serie; - 184 servizi.		http://www.sitr.regione.sicilia.it/geoportale/		Vari	In parte NO In parte SI (IODL 2.0)		?			 Alcuni dataset sono già pubblicati come open data Metadati presenti per tutte le risorse ed esportabili in XML
136	Assessorato del Territorio e dell'Ambiente Dipartimento dell'Ambiente Servizio III - Assetto del territorio e difesa del suolo	Sistemi cartografici	16 VITA ECONOMICA	1606 POLITICA ECONOMICA	Cartografia geologica	Cartografia geologica composta da: - fogli al 50.000; - sezioni al 25.000; - sezioni al 10.000.		http://www.artasicilia.eu/old_site/web/carg/index.html		Proprietario (pdf)	NO		NO			 Vecchio sito
137	Assessorato del Territorio e dell'Ambiente Dipartimento Urbanistica Servizio 5 - Abusivismo edilizio	Ambiente e meteo	28 QUESTIONI SOCIALI	2846 URBANISTICA E EDILIZIA	Sanatorie edilizie (SIAB)	Sistema informativo Regionale per la trasmissione e gestione degli elenchi quindicinali ex art. 13 l.r. n. 17/94 e per il monitoraggio sullo stato di attuazione delle sanatorie edilizie		http://www.sitr.regione.sicilia.it/siab/login.aspx		Proprietario (DB)	NO		?			
138	Assessorato del Territorio e dell'Ambiente Dipartimento Urbanistica Servizio 5 - Abusivismo edilizio	Ambiente e meteo	28 QUESTIONI SOCIALI	2846 URBANISTICA E EDILIZIA	RAPPORTO SULL’ABUSIVISMO EDILIZIO  E   SULLO  STATO  DI DEFINIZIONE  DELLE  ISTANZE  DI  SANATORIA  EDILIZIA	Il rapporto redatto dal Dipartimento dell'Urbanistica delinea un quadro generale del fenomeno dell'abusivismo attraverso l'elaborazione dei dati e delle informazioni a livello sia comunale che provinciale desunti dal sistema informativo sull'abusivismo SIAB		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_Assessoratoregionaledelterritorioedellambiente/PIR_DipUrbanistica/PIR_Servizio5/PIR_BancaDatiUO53		Proprietario (pdf)	NO		SI			 E' raggiungibile dalla sezione "Urbanistica e Territorio - Open Data" ma non è presente una licenza
139	Assessorato del Territorio e dell'Ambiente A.R.P.A. - Agenzia Regionale per la Protezione dell'Ambiente	Ambiente e meteo	52 AMBIENTE	5216 DEGRADO AMBIENTALE	Report sulla qualità dell'aria in Sicilia	Dati e relativi report annuali per l’anno 2012 dei parametri misurati dalle cabine di monitoraggio della qualità dell’aria in Sicilia e la tabella riassuntiva dei superamenti registrati della rete gestita da ARPA.		94.87.144.124/index.php?option=com_content&view=article&id=17&Itemid=29					?			
140	Assessorato del Territorio e dell'Ambiente A.R.P.A. - Agenzia Regionale per la Protezione dell'Ambiente	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Annuario regionale dei dati ambientali	L’Annuario dei dati ambientali 2011 è articolato in nove capitoli: Idrosfera, Atmosfera, Agenti fisici, Biosfera,  Geosfera, Rifiuti, Rischio Antropogenico, Ambiente e Salute e Promozione e Diffusione della Cultura Ambientale.		http://www.arpa.sicilia.it/context.jsp?ID_LINK=737&area=5		Proprietario (pdf)	NO		NO (2011)			
141	Assessorato del Territorio e dell'Ambiente Dipartimento dell'Ambiente  Autorità Ambientale regionale e Servizio 1 VAS - VIA	Ambiente e meteo	12 DIRITTO	1206 FONTI E BRANCHE DEL DIRITTO	Provvedimenti VIA	Banca dati provvedimenti VIA (Verifica assoggettabilità - Giudizio di compatibilità ambientale - Rifiuti e cave)		http://www.artasicilia.eu/old_site/web/vas/assog/index.php		Proprietario (pdf)	NO		NO			 Vecchio sito
142	Assessorato del Territorio e dell'Ambiente Dipartimento Urbanistica Servizio 9	Ambiente e meteo	28 QUESTIONI SOCIALI	2846 URBANISTICA E EDILIZIA	Strumenti urbanistici generali	Banca dati strumenti urbanistici generali		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_Assessoratoregionaledelterritorioedellambiente/PIR_DipUrbanistica/PIR_Servizio9/PIR_BancaDatiServizio9		Proprietario (xls)	NO		SI			 E' raggiungibile dalla sezione "Urbanistica e Territorio - Open Data" ma non è presente una licenza
143	Assessorato del Territorio e dell'Ambiente Dipartimento Urbanistica Servizio 9	Ambiente e meteo	28 QUESTIONI SOCIALI	2846 URBANISTICA E EDILIZIA	Piano regolatore generale	Collegamenti ai piani regolatori generali dei Comuni siciliani		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_Assessoratoregionaledelterritorioedellambiente/PIR_DipUrbanistica/PIR_ElencoTelefonicoGenerale/PIR_PRGOnline		Vari formati	NO		?			 E' raggiungibile dalla sezione "Urbanistica e Territorio - Open Data" ma non è presente una licenza
144	Assessorato del Territorio e dell'Ambiente Comando del Corpo Forestale	Ambiente e meteo	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5636 FORESTA	Inventario forestale	Inventario forestale come banca dati interrogabile		http://sif.regione.sicilia.it/portale/searchInvForestale.do		Proprietario (pdf o xls)	NO		NO			
145	Assessorato del Territorio e dell'Ambiente Comando del Corpo Forestale	Ambiente e meteo	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5636 FORESTA	Inventario forestale	Tabelle inventario forestale		http://sif.regione.sicilia.it/portale/itemdetail.do?body.sItemId=481675&nav.sFolderId=481675&sConceptTag=		Proprietario (pdf)	NO		NO (2011)			
146	Assessorato dell'energia e dei Serivizi di Pubblica Utilità Dipartimento dell'Energia	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Piano di gestione dei rifiuti solidi urbani			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_Dipartimentodellacquaedeirifiuti/PIR_PianoGestioneIntegratadeiRifiuti		Proprietario (pdf)	NO		?			
147	Assessorato del Territorio e dell'Ambiente Comando del Corpo Forestale	Ambiente e meteo	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5636 FORESTA	Carte forestali	Carta delle categorie forestali		http://sif.regione.sicilia.it/portale/folder.do?body.sFolderId=157672&nav.sFolderId=157672&sConceptTag=		Proprietario (pdf)			?			
148	Assessorato del Territorio e dell'Ambiente Comando del Corpo Forestale	Ambiente e meteo	32 ISTRUZIONE E COMUNICAZIONE	3236 INFORMATICA E TRATTAMENTO DEI DATI	Carte di interesse territoriale	- Carta del vincolo idrogeologico; - Carta delle ecoregioni; - Carta dei siti di raccolta del materiale di propagazione forestale.		http://sif.regione.sicilia.it/portale/folder.do?body.sFolderId=211661&nav.sFolderId=211661&sConceptTag=		Proprietario (pdf)			?			
149	Assessorato del Territorio e dell'Ambiente Comando del Corpo Forestale	Sistemi cartografici	36 SCIENZE	3606 SCIENZE NATURALI E APPLICATE	Servizi WMS	Ortofoto 2007 Parchi e Riserve Area di Raccolta (boschi da seme) Aree ecologicamente omogenee Aree a priorità di intervento Vincolo idrogeologico Distaccamenti Forestali  Anno 2007 – Aree percorse dal fuoco Anno 2008 – Aree percorse dal fuoco Anno 2009 – Aree percorse dal fuoco Anno 2010 – Aree percorse dal fuoco Anno 2011 – Aree percorse dal fuoco (NEW) Anno 2012 – Aree percorse dal fuoco (NEW) Boschi Vetusti Carta del rischio invernale di incendio Carta del rischio estivo di incendio Modelli di combustibile  Carta Forestale - Categorie Forestali  Carta Forestale - Classi Inventariali  Carta Forestale - def. DLgs 227/01 Carta Forestale - def. LR 19/96 Bacini montani (proposta di perimentazione, sensi L.R. 16/96)  Infrastrutture antincendio		Ortofoto 2007  - http://sif.regione.sicilia.it/sifgis/services/SIF_ORTO_PRIM07/MapServer/WMSServer Parchi e Riserve - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_PARCHI_E_RISERVE/MapServer/WMSServer Area di Raccolta (boschi da seme) - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_AREE_DI_RACCOLTA/MapServer/WMSServer Aree ecologicamente omogenee - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_AREE_ECOLOGICAMENTE_OMOGENEE/MapServer/WMSServer Aree a priorità di intervento - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_AREE_PRIORITA_INTERVENTO/MapServer/WMSServer Vincolo idrogeologico - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_VINCOLO_IDROGEOLOGICO/MapServer/WMSServer Distaccamenti Forestali  - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_DISTACCAMENTI_FORESTALI/MapServer/WMSServer Anno 2007 – Aree percorse dal fuoco - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_ANNO_2007_AREE_PERCORSE_FUOCO/MapServer/WMSServer Anno 2008 – Aree percorse dal fuoco - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_ANNO_2008_AREE_PERCORSE_FUOCO/MapServer/WMSServer Anno 2009 – Aree percorse dal fuoco - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_ANNO_2009_AREE_PERCORSE_FUOCO/MapServer/WMSServer Anno 2010 – Aree percorse dal fuoco - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_ANNO_2010_AREE_PERCORSE_FUOCO/MapServer/WMSServer Anno 2011 – Aree percorse dal fuoco - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_ANNO_2011_AREE_PERCORSE_FUOCO/MapServer/WMSServer Anno 2012 – Aree percorse dal fuoco - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_ANNO_2012_AREE_PERCORSE_FUOCO/MapServer/WMSServer Boschi Vetusti - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_BOSCHI_VETUSTI/MapServer/WMSServer Carta del rischio invernale di incendio - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_RISCHIO_INCENDIO_INVERNALE/MapServer/WMSServer Carta del rischio estivo di incendio - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_RISCHIO_INCENDIO_ESTIVO/MapServer/WMSServer Modelli di combustibile - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_MODELLI_DI_COMBUSTIBILE/MapServer/WMSServer Carta Forestale - Categorie Forestali  - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_CF_CATEGORIE_FORESTALI/MapServer/WMSServer Carta Forestale - Classi Inventariali - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_CF_CLASSI_INVENTARIALI/MapServer/WMSServer Carta Forestale - def. DLgs 227/01- http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_CF_DLGS_227_01/MapServer/WMSServer Carta Forestale - def. LR 19/96 - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_CF_LR_19_96/MapServer/WMSServer Bacini montani (proposta di perimentazione, sensi L.R. 16/96)  http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_BACINI_MONTANI/MapServer/WMSServer  Infrastrutture antincendio - http://sif.regione.sicilia.it/sifgis/services/SIF_WMS_INFRASTRUTTURE_ANTINCENDIO/MapServer/WMSServer		Proprietario (WMS)	NO		?			
150	Assessorato del Territorio e dell'Ambiente Comando del Corpo Forestale	Ambiente e meteo	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5606 POLITICA AGRICOLA	Perimetrazione bacini montani			http://sif.regione.sicilia.it/portale/folder.do?body.sFolderId=1145674&nav.sFolderId=1145674&sConceptTag=		Proprietario (pdf, WMS e Web GIS)	NO		?			
151	Assessorato del Territorio e dell'Ambiente Dipartimento dell'Ambiente Servizio III - Assetto del territorio e difesa del suolo	Ambiente e meteo	56 AGRICOLTURA ,SIVICOLTURA E PESCA	5621 COLTIVAZIONE DI TERRENI AGRICOLI	Piano per l’Assetto Idrogeologico	strumento conoscitivo, normativo e tecnico-operativo mediante il quale sono pianificate e programmate le azioni, gli interventi e le norme d’uso riguardanti la difesa dal rischio idrogeologico del territorio siciliano		http://www.sitr.regione.sicilia.it/pai/index.htm		Proprietario (pdf)	NO		?			
152	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Prinicpali mete turistiche siciliane			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_DIR_AREE_TEMATICHE/the%20infinite%20island/le%20principali%20mete%20turistiche		Proprietario (DB)	NO		?			
